datetime,q55,q64,q66,q69,q120
2014-01-01 01:00,-8.00,-4.58,-1.45,-9.01,-0.94
2014-01-01 03:00,-7.98,-4.57,-1.45,-9.00,-0.94
2014-01-01 05:00,-7.95,-4.58,-1.45,-9.00,-0.94
2014-01-01 07:00,-7.92,-4.59,-1.45,-9.01,-0.94
2014-01-01 09:00,-7.98,-4.59,-1.46,-9.00,-0.94
2014-01-01 11:00,-7.93,-4.58,-1.46,-9.33,-0.94
2014-01-01 13:00,-7.91,-4.56,-1.46,-9.11,-0.94
2014-01-01 15:00,-7.90,-4.56,-1.45,-9.04,-0.94
2014-01-01 17:00,-7.90,-4.56,-1.45,-9.02,-0.94
2014-01-01 19:00,-7.90,-4.57,-1.46,-8.99,-0.94
2014-01-01 21:00,-7.91,-4.58,-1.46,-9.00,-0.94
2014-01-01 23:00,-7.93,-4.57,-1.46,-8.99,-0.93
2014-01-02 01:00,-7.91,-4.57,-1.45,-9.02,-0.94
2014-01-02 03:00,-7.89,-4.57,-1.45,-9.00,-0.94
2014-01-02 05:00,-7.87,-4.57,-1.45,-9.28,-0.94
2014-01-02 07:00,-7.84,-4.57,-1.45,-9.09,-0.92
2014-01-02 09:00,-7.84,-4.58,-1.46,-9.03,-0.94
2014-01-02 11:00,-7.82,-4.57,-1.46,-9.00,-0.93
2014-01-02 13:00,-7.83,-4.56,-1.46,-8.97,-0.93
2014-01-02 15:00,-7.92,-4.55,-1.46,-8.95,-0.93
2014-01-02 17:00,,-4.56,-1.46,-8.94,-0.92
2014-01-02 19:00,-7.99,-4.57,-1.47,-8.94,-0.92
2014-01-02 21:00,-7.94,-4.58,-1.47,-8.96,-0.92
2014-01-02 23:00,-7.91,-4.58,-1.47,-8.96,-0.93
2014-01-03 01:00,-7.90,-4.57,-1.47,-8.96,-0.94
2014-01-03 03:00,-7.88,-4.57,-1.46,-8.95,-0.93
2014-01-03 05:00,-7.86,-4.58,-1.46,-8.93,-0.93
2014-01-03 07:00,-7.84,-4.59,-1.47,-8.95,-0.93
2014-01-03 09:00,-7.84,-4.60,-1.48,-8.98,-0.94
2014-01-03 11:00,-7.84,-4.59,-1.48,-9.00,-0.94
2014-01-03 13:00,-7.84,-4.58,-1.48,-9.00,-0.94
2014-01-03 15:00,-7.84,-4.57,-1.48,-9.01,-0.94
2014-01-03 17:00,-7.92,-4.58,-1.48,-9.01,-0.94
2014-01-03 19:00,-7.89,-4.59,-1.48,-9.00,-0.94
2014-01-03 21:00,-7.88,-4.59,-1.49,-9.02,-0.94
2014-01-03 23:00,-7.86,-4.59,-1.48,-9.04,-0.94
2014-01-04 01:00,-7.84,-4.59,-1.48,-9.08,-0.94
2014-01-04 03:00,-7.83,-4.59,-1.48,-9.03,-0.95
2014-01-04 05:00,-7.83,-4.60,-1.48,-9.02,-0.94
2014-01-04 07:00,-7.82,-4.60,-1.48,-9.02,-0.95
2014-01-04 09:00,-7.81,-4.61,-1.49,-9.04,-0.95
2014-01-04 11:00,-7.82,-4.60,-1.50,-9.03,-0.95
2014-01-04 13:00,-7.83,-4.58,-1.50,-9.03,-0.95
2014-01-04 15:00,-7.83,-4.58,-1.49,-9.02,-0.95
2014-01-04 17:00,-7.86,-4.58,-1.50,-9.11,-0.95
2014-01-04 19:00,-7.91,-4.59,-1.50,-9.05,-0.95
2014-01-04 21:00,-7.90,-4.59,-1.50,-9.04,-0.95
2014-01-04 23:00,-7.89,-4.59,-1.50,-9.03,-0.95
2014-01-05 01:00,-7.89,-4.58,-1.50,-9.07,-0.95
2014-01-05 03:00,-7.88,-4.58,-1.49,-9.10,-0.95
2014-01-05 05:00,-7.87,-4.58,-1.49,-9.11,-0.95
2014-01-05 07:00,-7.86,-4.59,-1.49,-9.09,-0.95
2014-01-05 09:00,-7.90,-4.60,-1.50,-9.07,-0.95
2014-01-05 11:00,-7.92,-4.59,-1.50,-9.07,-0.95
2014-01-05 13:00,-7.96,-4.57,-1.50,-9.05,-0.95
2014-01-05 15:00,-7.97,-4.56,-1.50,-9.03,-0.95
2014-01-05 17:00,-8.01,-4.57,-1.50,-9.21,-0.94
2014-01-05 19:00,-8.04,-4.58,-1.50,-9.11,-0.95
2014-01-05 21:00,-8.01,-4.58,-1.51,-9.07,-0.95
2014-01-05 23:00,-8.00,-4.58,-1.50,-9.05,-0.95
2014-01-06 01:00,-7.99,-4.57,-1.50,-9.04,-0.95
2014-01-06 03:00,-7.97,-4.57,-1.49,-9.03,-0.95
2014-01-06 05:00,-7.96,-4.58,-1.49,-9.03,-0.95
2014-01-06 07:00,-7.94,-4.59,-1.49,-9.05,-0.95
2014-01-06 09:00,-7.94,-4.59,-1.50,-9.15,-0.95
2014-01-06 11:00,-7.95,-4.58,-1.50,-9.07,-0.95
2014-01-06 13:00,-7.96,-4.57,-1.50,-9.03,-0.95
2014-01-06 15:00,-7.96,-4.56,-1.50,-9.00,-0.95
2014-01-06 17:00,-8.02,-4.57,-1.50,-9.00,-0.95
2014-01-06 19:00,-8.02,-4.58,-1.51,-9.00,-0.95
2014-01-06 21:00,-8.01,-4.58,-1.51,-9.00,-0.95
2014-01-06 23:00,-8.00,-4.58,-1.50,-9.44,-0.95
2014-01-07 01:00,-8.00,-4.58,-1.50,-9.18,-0.95
2014-01-07 03:00,-7.99,-4.58,-1.50,-9.08,-0.96
2014-01-07 05:00,-7.98,-4.58,-1.50,-9.04,-0.95
2014-01-07 07:00,-7.97,-4.59,-1.50,-9.02,-0.95
2014-01-07 09:00,-7.97,-4.59,-1.50,-9.03,-0.96
2014-01-07 11:00,-8.00,-4.58,-1.51,-9.02,-0.96
2014-01-07 13:00,-7.99,-4.57,-1.51,-9.01,-0.96
2014-01-07 15:00,-7.99,-4.57,-1.50,-8.99,-0.96
2014-01-07 17:00,-8.05,-4.58,-1.50,-9.00,-0.95
2014-01-07 19:00,-8.06,-4.59,-1.51,-9.01,-0.96
2014-01-07 21:00,-8.04,-4.60,-1.52,-9.03,-0.96
2014-01-07 23:00,-8.04,-4.59,-1.52,-9.03,-0.96
2014-01-08 01:00,-8.04,-4.59,-1.51,-9.03,-0.96
2014-01-08 03:00,-8.03,-4.59,-1.51,-9.03,-0.97
2014-01-08 05:00,-8.02,-4.59,-1.51,-9.03,-0.97
2014-01-08 07:00,-8.01,-4.60,-1.51,-9.08,-0.97
2014-01-08 09:00,-8.01,-4.61,-1.52,-9.08,-0.97
2014-01-08 11:00,-8.02,-4.60,-1.52,-9.38,-0.97
2014-01-08 13:00,-8.02,-4.59,-1.52,-9.16,-0.97
2014-01-08 15:00,-8.01,-4.59,-1.51,-9.08,-0.97
2014-01-08 17:00,-8.01,-4.60,-1.51,-9.05,-0.97
2014-01-08 19:00,-8.02,-4.61,-1.52,-9.04,-0.97
2014-01-08 21:00,-8.01,-4.61,-1.52,-9.05,-0.98
2014-01-08 23:00,-8.00,-4.61,-1.52,-9.05,-0.98
2014-01-09 01:00,-7.99,-4.61,-1.52,-9.05,-0.98
2014-01-09 03:00,-7.97,-4.60,-1.52,-9.04,-0.98
2014-01-09 05:00,-7.95,-4.61,-1.52,-9.04,-0.98
2014-01-09 07:00,-7.94,-4.62,-1.52,-9.05,-0.98
2014-01-09 09:00,-8.01,-4.63,-1.53,-9.04,-0.99
2014-01-09 11:00,-8.01,-4.61,-1.53,-9.03,-0.99
2014-01-09 13:00,-8.02,-4.60,-1.53,-9.02,-0.99
2014-01-09 15:00,-8.03,-4.59,-1.52,-9.00,-0.99
2014-01-09 17:00,-8.03,-4.61,-1.53,-9.01,-0.99
2014-01-09 19:00,-8.03,-4.61,-1.53,-9.05,-0.99
2014-01-09 21:00,-8.05,-4.62,-1.54,-9.07,-0.99
2014-01-09 23:00,-8.06,-4.61,-1.53,-9.08,-0.99
2014-01-10 01:00,-8.05,-4.61,-1.53,-9.10,-0.99
2014-01-10 03:00,-8.04,-4.60,-1.53,-9.11,-0.99
2014-01-10 05:00,-8.02,-4.61,-1.52,-9.11,-0.99
2014-01-10 07:00,-8.00,-4.62,-1.53,-9.12,-0.99
2014-01-10 09:00,-8.03,-4.62,-1.53,-9.13,-1.00
2014-01-10 11:00,-8.09,-4.61,-1.54,-9.11,-1.00
2014-01-10 13:00,-8.08,-4.59,-1.54,-9.10,-1.00
2014-01-10 15:00,-8.07,-4.59,-1.53,-9.07,-0.99
2014-01-10 17:00,-8.08,-4.60,-1.54,-9.06,-0.99
2014-01-10 19:00,-8.11,-4.61,-1.55,-9.07,-0.99
2014-01-10 21:00,-8.11,-4.61,-1.55,-9.11,-1.00
2014-01-10 23:00,-8.11,-4.61,-1.54,-9.12,-1.00
2014-01-11 01:00,-8.09,-4.61,-1.54,-9.13,-1.00
2014-01-11 03:00,-8.07,-4.60,-1.53,-9.14,-1.00
2014-01-11 05:00,-8.06,-4.61,-1.53,-9.13,-1.00
2014-01-11 07:00,-8.03,-4.61,-1.53,-9.09,-0.99
2014-01-11 09:00,-8.02,-4.62,-1.54,-9.06,-1.00
2014-01-11 11:00,-8.09,-4.62,-1.55,-9.05,-1.00
2014-01-11 13:00,-8.07,-4.60,-1.54,-9.06,-1.00
2014-01-11 15:00,-8.05,-4.60,-1.54,-9.28,-1.00
2014-01-11 17:00,-8.04,-4.60,-1.55,-9.15,-1.00
2014-01-11 19:00,-8.07,-4.62,-1.56,-9.10,-0.99
2014-01-11 21:00,-8.07,-4.62,-1.55,-9.09,-1.00
2014-01-11 23:00,-8.08,-4.62,-1.55,-9.08,-1.00
2014-01-12 01:00,-8.07,-4.62,-1.55,-9.07,-1.00
2014-01-12 03:00,-8.06,-4.61,-1.54,-9.06,-1.00
2014-01-12 05:00,-8.05,-4.61,-1.54,-9.07,-1.00
2014-01-12 07:00,-8.03,-4.62,-1.54,-9.07,-1.00
2014-01-12 09:00,-8.01,-4.63,-1.55,-9.08,-0.99
2014-01-12 11:00,-8.00,-4.62,-1.56,-9.09,-1.00
2014-01-12 13:00,-7.99,-4.61,-1.55,-9.07,-1.00
2014-01-12 15:00,-8.01,-4.60,-1.54,-9.06,-1.00
2014-01-12 17:00,-8.05,-4.61,-1.55,-9.06,-1.00
2014-01-12 19:00,-8.03,-4.62,-1.55,-9.06,-1.00
2014-01-12 21:00,-8.01,-4.62,-1.55,-9.07,-1.00
2014-01-12 23:00,-8.03,-4.62,-1.55,-9.08,-1.00
2014-01-13 01:00,-8.02,-4.62,-1.55,-9.07,-1.00
2014-01-13 03:00,-7.99,-4.62,-1.53,-9.07,-1.00
2014-01-13 05:00,-7.96,-4.62,-1.54,-9.07,-1.00
2014-01-13 07:00,-7.97,-4.62,-1.54,-9.17,-1.00
2014-01-13 09:00,-7.99,-4.64,-1.55,-9.12,-1.00
2014-01-13 11:00,-8.04,-4.63,-1.56,-9.12,-1.01
2014-01-13 13:00,-8.02,-4.61,-1.57,-9.10,-1.01
2014-01-13 15:00,-8.00,-4.61,-1.56,-9.09,-1.00
2014-01-13 17:00,-7.98,-4.61,-1.56,-9.09,-1.00
2014-01-13 19:00,-7.99,-4.62,-1.57,-9.11,-1.00
2014-01-13 21:00,-7.97,-4.63,-1.57,-9.12,-1.00
2014-01-13 23:00,-7.95,-4.62,-1.56,-9.12,-1.01
2014-01-14 01:00,-7.93,-4.62,-1.56,-9.12,-1.01
2014-01-14 03:00,-7.90,-4.62,-1.55,-9.11,-1.01
2014-01-14 05:00,-7.88,-4.62,-1.55,-9.11,-1.01
2014-01-14 07:00,-7.85,-4.63,-1.55,-9.15,-1.01
2014-01-14 09:00,-7.84,-4.64,-1.56,-9.12,-1.01
2014-01-14 11:00,-7.90,-4.63,-1.56,-9.11,-1.01
2014-01-14 13:00,-7.90,-4.61,-1.56,-9.09,-1.02
2014-01-14 15:00,-7.89,-4.61,-1.56,-9.21,-1.01
2014-01-14 17:00,-7.88,-4.61,-1.56,-9.11,-1.01
2014-01-14 19:00,-7.91,-4.61,-1.56,-9.07,-1.01
2014-01-14 21:00,-7.91,-4.62,-1.56,-9.07,-1.01
2014-01-14 23:00,-7.90,-4.63,-1.56,-9.07,-1.01
2014-01-15 01:00,-7.90,-4.62,-1.56,-9.06,-1.01
2014-01-15 03:00,-7.88,-4.62,-1.55,-9.05,-1.02
2014-01-15 05:00,-7.86,-4.62,-1.55,-9.07,-1.01
2014-01-15 07:00,-7.84,-4.63,-1.55,-9.08,-1.01
2014-01-15 09:00,-7.93,-4.64,-1.56,-9.09,-1.02
2014-01-15 11:00,-7.88,-4.63,-1.56,-9.11,-1.02
2014-01-15 13:00,-7.86,-4.61,-1.55,-9.10,-1.02
2014-01-15 15:00,-7.86,-4.61,-1.55,-9.08,-1.02
2014-01-15 17:00,-7.86,-4.61,-1.55,-9.08,-1.02
2014-01-15 19:00,-7.88,-4.62,-1.55,-9.10,-1.01
2014-01-15 21:00,-7.87,-4.62,-1.55,-9.15,-1.01
2014-01-15 23:00,-7.87,-4.62,-1.55,-9.11,-1.02
2014-01-16 01:00,-7.85,-4.62,-1.55,-9.07,-1.02
2014-01-16 03:00,-7.86,-4.62,-1.55,-9.05,-1.02
2014-01-16 05:00,-7.84,-4.62,-1.54,-9.03,-1.02
2014-01-16 07:00,-7.82,-4.63,-1.55,-9.05,-1.02
2014-01-16 09:00,-7.86,-4.63,-1.55,-9.06,-1.02
2014-01-16 11:00,-7.86,-4.63,-1.56,-9.06,-1.03
2014-01-16 13:00,-7.84,-4.61,-1.55,-9.07,-1.02
2014-01-16 15:00,-7.86,-4.61,-1.55,-9.09,-1.02
2014-01-16 17:00,-7.88,-4.61,-1.55,-9.09,-1.01
2014-01-16 19:00,-7.93,-4.62,-1.56,-9.08,-1.02
2014-01-16 21:00,-7.90,-4.63,-1.56,-9.09,-1.02
2014-01-16 23:00,-7.89,-4.63,-1.56,-9.08,-1.02
2014-01-17 01:00,-7.87,-4.62,-1.55,-9.08,-1.02
2014-01-17 03:00,-7.85,-4.62,-1.55,-9.08,-1.02
2014-01-17 05:00,-7.82,-4.63,-1.54,-9.08,-1.02
2014-01-17 07:00,-7.79,-4.64,-1.54,-9.11,-1.02
2014-01-17 09:00,-7.77,-4.65,-1.55,-9.13,-1.02
2014-01-17 11:00,-7.82,-4.64,-1.55,-9.09,-1.03
2014-01-17 13:00,-7.88,-4.62,-1.55,-9.05,-1.03
2014-01-17 15:00,-7.92,-4.62,-1.54,-9.05,-1.03
2014-01-17 17:00,-7.95,-4.62,-1.54,-9.06,-1.03
2014-01-17 19:00,-7.97,-4.63,-1.54,-9.07,-1.03
2014-01-17 21:00,-7.99,-4.64,-1.54,-9.09,-1.03
2014-01-17 23:00,-8.01,-4.64,-1.54,-9.10,-1.03
2014-01-18 01:00,-8.01,-4.64,-1.53,-9.09,-1.03
2014-01-18 03:00,-8.01,-4.63,-1.53,-9.09,-1.03
2014-01-18 05:00,-8.00,-4.64,-1.53,-9.16,-1.03
2014-01-18 07:00,-7.95,-4.65,-1.53,-9.16,-1.03
2014-01-18 09:00,-7.91,-4.66,-1.54,-9.14,-1.03
2014-01-18 11:00,-7.88,-4.64,-1.54,-9.11,-1.03
2014-01-18 13:00,-7.86,-4.62,-1.54,-9.14,-1.04
2014-01-18 15:00,-7.84,-4.62,-1.54,-9.15,-1.03
2014-01-18 17:00,-7.84,-4.63,-1.54,-9.09,-1.03
2014-01-18 19:00,-7.95,-4.63,-1.55,-9.08,-1.03
2014-01-18 21:00,-7.92,-4.64,-1.55,-9.08,-1.03
2014-01-18 23:00,-7.96,-4.64,-1.55,-9.07,-1.03
2014-01-19 01:00,-7.99,-4.63,-1.54,-9.10,-1.03
2014-01-19 03:00,-8.05,-4.63,-1.54,-9.13,-1.04
2014-01-19 05:00,-8.05,-4.63,-1.53,-9.08,-1.03
2014-01-19 07:00,-8.03,-4.64,-1.53,-9.07,-1.03
2014-01-19 09:00,-8.03,-4.65,-1.53,-9.08,-1.03
2014-01-19 11:00,-8.06,-4.64,-1.54,-9.14,-1.04
2014-01-19 13:00,-8.03,-4.62,-1.53,-9.08,-1.04
2014-01-19 15:00,-8.00,-4.62,-1.53,-9.06,-1.03
2014-01-19 17:00,-7.99,-4.62,-1.53,-9.09,-1.03
2014-01-19 19:00,-8.00,-4.63,-1.53,-9.07,-1.03
2014-01-19 21:00,-8.00,-4.64,-1.54,-9.06,-1.03
2014-01-19 23:00,-8.01,-4.64,-1.54,-9.06,-1.03
2014-01-20 01:00,-8.00,-4.64,-1.54,-9.09,-1.03
2014-01-20 03:00,-7.98,-4.63,-1.54,-9.10,-1.04
2014-01-20 05:00,-7.96,-4.64,-1.54,-9.07,-1.03
2014-01-20 07:00,-7.94,-4.65,-1.54,-9.06,-1.04
2014-01-20 09:00,-7.94,-4.65,-1.55,-9.05,-1.04
2014-01-20 11:00,-7.95,-4.65,-1.56,-9.07,-1.04
2014-01-20 13:00,-7.96,-4.63,-1.56,-9.05,-1.04
2014-01-20 15:00,-7.96,-4.63,-1.55,-9.05,-1.04
2014-01-20 17:00,-7.96,-4.64,-1.55,-9.05,-1.04
2014-01-20 19:00,-8.03,-4.65,-1.56,-9.07,-1.04
2014-01-20 21:00,-8.01,-4.65,-1.56,-9.12,-1.04
2014-01-20 23:00,-8.01,-4.65,-1.56,-9.07,-1.04
2014-01-21 01:00,-8.01,-4.65,-1.55,-9.10,-1.05
2014-01-21 03:00,-8.01,-4.64,-1.55,-9.08,-1.05
2014-01-21 05:00,-7.99,-4.65,-1.54,-9.07,-1.05
2014-01-21 07:00,-7.99,-4.65,-1.54,-9.08,-1.05
2014-01-21 09:00,-7.99,-4.66,-1.54,-9.08,-1.05
2014-01-21 11:00,-7.99,-4.65,-1.54,-9.09,-1.05
2014-01-21 13:00,-7.99,-4.64,-1.54,-9.12,-1.05
2014-01-21 15:00,-8.08,-4.63,-1.54,-9.06,-1.05
2014-01-21 17:00,-8.06,-4.64,-1.54,-9.14,-1.05
2014-01-21 19:00,-8.06,-4.65,-1.54,-9.08,-1.04
2014-01-21 21:00,-8.06,-4.65,-1.54,-9.07,-1.05
2014-01-21 23:00,-8.08,-4.66,-1.54,-9.08,-1.05
2014-01-22 01:00,-8.08,-4.65,-1.53,-9.07,-1.05
2014-01-22 03:00,-8.07,-4.65,-1.52,-9.07,-1.05
2014-01-22 05:00,-8.06,-4.65,-1.52,-9.08,-1.05
2014-01-22 07:00,-8.08,-4.66,-1.52,-9.09,-1.06
2014-01-22 09:00,-8.08,-4.66,-1.52,-9.13,-1.06
2014-01-22 11:00,-8.08,-4.65,-1.52,-9.14,-1.06
2014-01-22 13:00,-8.09,-4.64,-1.52,-9.15,-1.06
2014-01-22 15:00,-8.12,-4.63,-1.52,-9.11,-1.06
2014-01-22 17:00,-8.14,-4.64,-1.52,-9.10,-1.05
2014-01-22 19:00,-8.14,-4.64,-1.52,-9.11,-1.05
2014-01-22 21:00,-8.14,-4.65,-1.52,-9.10,-1.05
2014-01-22 23:00,-8.14,-4.65,-1.52,-9.08,-1.05
2014-01-23 01:00,-8.14,-4.64,-1.51,-9.07,-1.06
2014-01-23 03:00,-8.13,-4.64,-1.51,-9.06,-1.06
2014-01-23 05:00,-8.11,-4.64,-1.50,-9.17,-1.06
2014-01-23 07:00,-8.17,-4.65,-1.50,-9.09,-1.06
2014-01-23 09:00,-8.13,-4.66,-1.51,-9.08,-1.06
2014-01-23 11:00,-8.11,-4.65,-1.51,-9.07,-1.06
2014-01-23 13:00,-8.11,-4.63,-1.51,-9.06,-1.06
2014-01-23 15:00,-8.19,-4.63,-1.51,-9.06,-1.06
2014-01-23 17:00,-8.23,-4.63,-1.51,-9.05,-1.05
2014-01-23 19:00,-8.23,-4.64,-1.51,-9.06,-1.05
2014-01-23 21:00,-8.21,-4.64,-1.51,-9.06,-1.05
2014-01-23 23:00,-8.19,-4.64,-1.51,-9.05,-1.05
2014-01-24 01:00,-8.17,-4.63,-1.50,-9.03,-1.05
2014-01-24 03:00,-8.14,-4.63,-1.50,-9.03,-1.05
2014-01-24 05:00,-8.11,-4.63,-1.49,-9.03,-1.05
2014-01-24 07:00,-8.08,-4.64,-1.50,-9.04,-1.06
2014-01-24 09:00,-8.14,-4.64,-1.50,-9.05,-1.05
2014-01-24 11:00,-8.16,-4.64,-1.51,-9.05,-1.06
2014-01-24 13:00,-8.18,-4.62,-1.50,-9.02,-1.06
2014-01-24 15:00,-8.17,-4.61,-1.49,-8.99,-1.05
2014-01-24 17:00,-8.16,-4.62,-1.50,-8.99,-1.05
2014-01-24 19:00,-8.18,-4.63,-1.51,-9.03,-1.05
2014-01-24 21:00,-8.17,-4.64,-1.51,-8.99,-1.05
2014-01-24 23:00,-8.15,-4.64,-1.50,-8.99,-1.05
2014-01-25 01:00,-8.14,-4.64,-1.50,-8.98,-1.06
2014-01-25 03:00,-8.11,-4.64,-1.50,-9.00,-1.06
2014-01-25 05:00,-8.08,-4.65,-1.50,-9.01,-1.06
2014-01-25 07:00,-8.05,-4.66,-1.50,-9.09,-1.06
2014-01-25 09:00,-8.05,-4.66,-1.50,-9.04,-1.07
2014-01-25 11:00,-8.17,-4.67,-1.51,-9.06,-1.07
2014-01-25 13:00,-8.12,-4.68,-1.53,-9.08,-1.06
2014-01-25 15:00,-8.12,-4.68,-1.52,-9.07,-1.07
2014-01-25 17:00,-8.15,-4.68,-1.51,-9.57,-1.06
2014-01-25 19:00,-8.16,-4.68,-1.50,-9.18,-1.07
2014-01-25 21:00,-8.14,-4.66,-1.48,-9.07,-1.06
2014-01-25 23:00,-8.13,-4.66,-1.47,-9.03,-1.07
2014-01-26 01:00,-8.11,-4.65,-1.47,-9.02,-1.07
2014-01-26 03:00,-8.08,-4.66,-1.46,-9.00,-1.07
2014-01-26 05:00,-8.05,-4.66,-1.46,-9.00,-1.07
2014-01-26 07:00,-8.03,-4.67,-1.46,-9.00,-1.06
2014-01-26 09:00,-8.08,-4.68,-1.47,-9.01,-1.07
2014-01-26 11:00,-8.09,-4.67,-1.47,-9.02,-1.07
2014-01-26 13:00,-8.16,-4.65,-1.47,-9.02,-1.07
2014-01-26 15:00,-8.20,-4.65,-1.47,-9.01,-1.07
2014-01-26 17:00,-8.27,-4.65,-1.47,-9.00,-1.07
2014-01-26 19:00,-8.31,-4.66,-1.47,-9.00,-1.07
2014-01-26 21:00,-8.29,-4.67,-1.47,-9.01,-1.07
2014-01-26 23:00,-8.27,-4.67,-1.47,-9.02,-1.07
2014-01-27 01:00,-8.24,-4.66,-1.46,-9.01,-1.07
2014-01-27 03:00,-8.21,-4.66,-1.46,-9.01,-1.07
2014-01-27 05:00,-8.17,-4.66,-1.45,-9.01,-1.07
2014-01-27 07:00,-8.15,-4.67,-1.45,-9.02,-1.07
2014-01-27 09:00,-8.20,-4.68,-1.46,-9.04,-1.07
2014-01-27 11:00,-8.18,-4.67,-1.47,-9.05,-1.07
2014-01-27 13:00,-8.24,-4.66,-1.46,-9.04,-1.07
2014-01-27 15:00,-8.22,-4.64,-1.45,-9.01,-1.06
2014-01-27 17:00,-8.20,-4.65,-1.45,-9.03,-1.06
2014-01-27 19:00,-8.23,-4.66,-1.46,-9.02,-1.06
2014-01-27 21:00,-8.26,-4.66,-1.46,-9.02,-1.06
2014-01-27 23:00,-8.25,-4.66,-1.46,-9.04,-1.06
2014-01-28 01:00,-8.23,-4.66,-1.45,-9.05,-1.06
2014-01-28 03:00,-8.22,-4.65,-1.45,-9.00,-1.07
2014-01-28 05:00,-8.19,-4.66,-1.45,-9.05,-1.07
2014-01-28 07:00,-8.18,-4.67,-1.45,-9.02,-1.07
2014-01-28 09:00,-8.18,-4.68,-1.46,-9.02,-1.07
2014-01-28 11:00,-8.24,-4.67,-1.47,-9.01,-1.07
2014-01-28 13:00,-8.24,-4.66,-1.46,-9.02,-1.07
2014-01-28 15:00,-8.22,-4.65,-1.46,-9.01,-1.07
2014-01-28 17:00,-8.28,-4.66,-1.46,-9.02,-1.07
2014-01-28 19:00,-8.27,-4.67,-1.46,-9.02,-1.07
2014-01-28 21:00,-8.26,-4.67,-1.46,-9.06,-1.07
2014-01-28 23:00,-8.26,-4.67,-1.46,-9.05,-1.07
2014-01-29 01:00,-8.26,-4.67,-1.46,-9.06,-1.07
2014-01-29 03:00,-8.24,-4.66,-1.45,-9.03,-1.07
2014-01-29 05:00,-8.21,-4.66,-1.45,-9.03,-1.07
2014-01-29 07:00,-8.19,-4.67,-1.45,-9.08,-1.07
2014-01-29 09:00,-8.26,-4.68,-1.46,-9.07,-1.07
2014-01-29 11:00,-8.45,-4.68,-1.46,-9.06,-1.07
2014-01-29 13:00,-8.37,-4.66,-1.46,-9.04,-1.07
2014-01-29 15:00,-8.32,-4.66,-1.45,-9.09,-1.07
2014-01-29 17:00,-8.33,-4.66,-1.45,-9.05,-1.07
2014-01-29 19:00,-8.37,-4.67,-1.46,-9.04,-1.07
2014-01-29 21:00,-8.35,-4.67,-1.45,-9.05,-1.07
2014-01-29 23:00,-8.34,-4.67,-1.45,-9.06,-1.07
2014-01-30 01:00,-8.33,-4.67,-1.45,-9.04,-1.07
2014-01-30 03:00,-8.32,-4.67,-1.44,-9.05,-1.07
2014-01-30 05:00,-8.29,-4.67,-1.44,-9.07,-1.07
2014-01-30 07:00,-8.26,-4.68,-1.44,-9.06,-1.07
2014-01-30 09:00,-8.27,-4.69,-1.45,-9.04,-1.07
2014-01-30 11:00,-8.32,-4.68,-1.45,-9.09,-1.07
2014-01-30 13:00,-8.33,-4.67,-1.45,-9.04,-1.07
2014-01-30 15:00,-8.36,-4.66,-1.45,-9.01,-1.07
2014-01-30 17:00,-8.45,-4.66,-1.45,-9.10,-1.06
2014-01-30 19:00,-8.55,-4.67,-1.45,-9.03,-1.06
2014-01-30 21:00,-8.72,-4.67,-1.46,-9.02,-1.07
2014-01-30 23:00,-8.72,-4.67,-1.46,-9.02,-1.07
2014-01-31 01:00,-8.71,-4.67,-1.45,-9.02,-1.07
2014-01-31 03:00,-8.70,-4.66,-1.45,-9.03,-1.07
2014-01-31 05:00,-8.67,-4.67,-1.44,-9.06,-1.07
2014-01-31 07:00,-8.65,-4.68,-1.44,-9.02,-1.07
2014-01-31 09:00,-8.63,-4.68,-1.44,-9.01,-1.07
