date,q120,q55,q64,q66,q69
2014-01-01 01:00:00,-0.94,-8.0,-4.58,-1.45,-9.01
2014-01-01 03:00:00,-0.94,-7.98,-4.57,-1.45,-9.0
2014-01-01 05:00:00,-0.94,-7.95,-4.58,-1.45,-9.0
2014-01-01 07:00:00,-0.94,-7.92,-4.59,-1.45,-9.01
2014-01-01 09:00:00,-0.94,-7.98,-4.59,-1.46,-9.0
2014-01-01 11:00:00,-0.94,-7.93,-4.58,-1.46,-9.33
2014-01-01 13:00:00,-0.94,-7.91,-4.56,-1.46,-9.11
2014-01-01 15:00:00,-0.94,-7.9,-4.56,-1.45,-9.04
2014-01-01 17:00:00,-0.94,-7.9,-4.56,-1.45,-9.02
2014-01-01 19:00:00,-0.94,-7.9,-4.57,-1.46,-8.99
2014-01-01 21:00:00,-0.94,-7.91,-4.58,-1.46,-9.0
2014-01-01 23:00:00,-0.93,-7.93,-4.57,-1.46,-8.99
2014-01-02 01:00:00,-0.94,-7.91,-4.57,-1.45,-9.02
2014-01-02 03:00:00,-0.94,-7.89,-4.57,-1.45,-9.0
2014-01-02 05:00:00,-0.94,-7.87,-4.57,-1.45,-9.28
2014-01-02 07:00:00,-0.92,-7.84,-4.57,-1.45,-9.09
2014-01-02 09:00:00,-0.94,-7.84,-4.58,-1.46,-9.03
2014-01-02 11:00:00,-0.93,-7.82,-4.57,-1.46,-9.0
2014-01-02 13:00:00,-0.93,-7.83,-4.56,-1.46,-8.97
2014-01-02 15:00:00,-0.93,-7.92,-4.55,-1.46,-8.95
2014-01-02 17:00:00,-0.92,-7.955,-4.56,-1.46,-8.94
2014-01-02 19:00:00,-0.92,-7.99,-4.57,-1.47,-8.94
2014-01-02 21:00:00,-0.92,-7.94,-4.58,-1.47,-8.96
2014-01-02 23:00:00,-0.93,-7.91,-4.58,-1.47,-8.96
2014-01-03 01:00:00,-0.94,-7.9,-4.57,-1.47,-8.96
2014-01-03 03:00:00,-0.93,-7.88,-4.57,-1.46,-8.95
2014-01-03 05:00:00,-0.93,-7.86,-4.58,-1.46,-8.93
2014-01-03 07:00:00,-0.93,-7.84,-4.59,-1.47,-8.95
